Gene_ID Gene_name numAparitions
283 rps7bΔ 6
284 psh1Δ 8
285 chs7Δ 75
286 prr1Δ 41
287 lcb2-2 21
288 cdc1-1 57
289 cdc21-1 27
290 dcd1Δ 86
291 emc4Δ 33
292 prp8Δ 70
293 vps35Δ 135
294 mog1Δ 278
295 YMR093W-PH 34
296 nbl1Δ 33
297 TRS20-PH 84
298 cct6-18 42
299 ume6Δ 49
300 cog2-1 12
301 pan1-4 255
302 arp4-G161D 52
303 gmh1Δ 11
304 vrp1Δ 47
305 emc3Δ 25
306 eps1Δ 14
307 brl1-3231 220
308 snl1Δ 30
309 rtg2Δ 32
310 ybt1Δ 5
311 bcy1Δ 73
312 sip1Δ 7
313 sla1Δ 33
314 ede1Δ 15
315 tcp1-2 47
316 com2Δ 3
317 sin3Δ 51
318 mad2Δ 197
319 amd1Δ 6
320 sif2Δ 22
321 rrp8Δ 19
322 taf6-ts 12
323 set2Δ 21
324 hhf1Δ 12
325 hir3Δ 89
326 yng1Δ 31
327 nhp10Δ 23
328 ies5Δ 37
329 med1Δ 33
330 ubx4Δ 64
331 ufd4Δ 37
332 rpn10Δ 20
333 red1Δ 4
334 sds22-5 19
335 nup188Δ 208
336 pom33Δ 44
337 swc5Δ 77
338 sok1Δ 10
339 gsp1-P162L 23
340 chl1Δ 46
341 PRE7-ph 91
342 cof1-5 30
343 esp1-1 9
344 pre9Δ 20
345 PRE6-PH 8
346 nto1Δ 31
347 ppr1Δ 20
348 SPC98-PH 33
349 sec66Δ 30
350 spc3-4 46
351 kar3Δ 75
352 ahc1Δ 59
353 sas3Δ 2
354 ame1-4 20
355 sem1Δ 19
356 lsm6Δ 51
357 YER147C-PH 15
358 cog3-1 95
359 ubp6Δ 27
360 prp21-ts 16
361 aah1Δ 21
362 PWP1-ph 88
363 gis2Δ 38
364 ypt7Δ 23
365 gim3Δ 284
366 prp3-1 10
367 yke2Δ 171
368 mcm22Δ 12
369 ecm30Δ 7
370 src1Δ 14
371 mec3Δ 41
372 stb4Δ 13
373 stn1-13 18
374 SLD3-PH 26
375 ORC6-PH 29
376 rad5Δ 8
